Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2019-06-12 10:44:07	31	17-9	0.001	0	21.7	4.70844	0.28391	
2019-06-12 10:45:43	31	17-9	0.011	0.387	21.3	4.33344	-190.726	
2019-06-12 10:48:29	61	17-8	-0.0094	-0.188	20.98	6.69815	0.395883	
2019-06-12 10:50:04	61	17-8	0.026	0.472	20.5	6.78391	-1.44883	
2019-06-12 10:52:12	51	16-5	0.001	0	20.3	1.92769	96.08	
2019-06-12 10:53:47	51	16-5	0.038	0.507	20.1	1.5224	50.5718	
2019-06-12 11:05:27	3	18-0	-0.0036	-0.0946	19.86	14.0078	3.15233	
2019-06-12 11:07:02	3	18-0	0.023	0.475	20.1	7.34314	-0.98451	
2019-06-12 11:09:28	70	17-8	-0.00866667	-0.168333	20.3667	5.91341	20.6487	
2019-06-12 11:11:03	70	17-8	0.03	0.505	20.1	4.16831	9.94531	
2019-06-12 11:13:33	49	17-6	0.001	6.93889e-17	20.1	1.1742	1488.44	
2019-06-12 11:15:08	49	17-6	0.049	0.601	19.9	1.09664	700.442	
2019-06-12 11:17:40	89	17-8	0.038	0.666	19.7	3.83396	959.18	
2019-06-12 11:19:15	89	17-8	0.038	0.66	19.5	2.1451	724.852	
2019-06-12 11:21:31	18	17-8	-0.00366667	-0.133667	19.5	19.1373	-1202.68	
2019-06-12 11:23:06	18	17-8	0.015	0.419	19.5	21.992	14.5315	
2019-06-12 11:25:21	20	18-1	0.001	0.007	19.7	5.70332	5.3052	
2019-06-12 11:26:56	20	18-1	0.019	0.415	19.7	4.73074	-1.18177	
2019-06-12 11:28:50	20	18-1	0.019	0.415	19.9	6.77869	-0.990957	
2019-06-12 11:30:25	20	18-1	0.019	0.415	19.9	3.94834	0.737107	
2019-06-12 11:33:14	69	18-0	0.033	0.59	19.9	11.7827	427.436	
2019-06-12 11:34:49	69	18-0	0.033	0.588	20.1	3.81359	118.495	
2019-06-12 11:48:32	1	17-9	0.0436	0.6042	20.34	4.78392	63359.7	
2019-06-12 11:50:06	1	17-9	0.046	0.603	20.1	3.25009	13562.2	
2019-06-12 11:53:35	32	17-9	0.024	0.5706	19.78	11.17	633.633	
2019-06-12 11:55:10	32	17-9	0.024	0.569	19.7	10.2208	523.667	
2019-06-12 11:57:25	62	18-0	0.024	0.569	19.7	1.69834	31.9413	
2019-06-12 11:59:00	62	18-0	0.039	0.565	19.7	1.62081	14.6377	
2019-06-12 12:01:41	71	18-3	0.023	0.475	19.7	5.13916	232.424	
2019-06-12 12:03:16	71	18-3	0.023	0.475	19.7	3.63874	140.224	
2019-06-12 12:06:09	17	18-0	0.015	0.465	19.5	9.00101	108.004	
2019-06-12 12:07:45	17	18-0	0.016	0.463	19.7	3.2056	12.5929	
2019-06-12 12:10:46	92	17-9	0.029	0.536	19.9	6.52946	26.3834	
2019-06-12 12:12:22	92	17-9	0.029	0.536	19.9	4.77641	23.6682	
2019-06-12 12:15:35	63	18-0	0.036	0.5562	20.22	3.77533	2.59373	
2019-06-12 12:17:10	63	18-0	0.036	0.555	20.3	3.44154	9668.68	
2019-06-12 12:23:27	30	18-0	-0.001	-0.0834	20.5	6.00363	2.38354	
2019-06-12 12:25:02	30	18-0	0.017	0.417	20.5	3.81114	4.54207	
2019-06-12 12:27:39	72	17-8	0.046	0.596	20.5	7.48688	158.568	
2019-06-12 12:29:15	72	17-8	0.045	0.595	20.7	4.17614	48.5415	
2019-06-12 12:32:50	19	17-6	0.025	0.501	20.7	12.5056	48.4667	
2019-06-12 12:34:25	19	17-6	0.024	0.5	20.7	2.76637	16.5286	
2019-06-12 12:37:17	91	17-2	0.002	0.001	20.7	10.1927	10357.9	
2019-06-12 12:38:52	91	17-2	0.029	0.527	20.9	3.48151	1835.92	
2019-06-12 12:42:33	64	17-5	0.002	4.16334e-17	21.1	5.2213	-7.64723	
2019-06-12 12:44:08	64	17-5	0.029	0.475	21.1	2.75057	-4.30355	
2019-06-12 12:47:22	4	17-7	0.002	0.007	20.9	48.0437	-188.676	
2019-06-12 12:48:57	4	17-7	0.021	0.448	20.9	13.3545	10.4699	
2019-06-12 12:51:30	90	17-4	0.0176	0.3936	20.9	8.51157	1002.97	
2019-06-12 12:53:06	90	17-4	0.033	0.585	20.9	3.9556	886.079	
2019-06-12 12:56:09	29	17-6	0.032	0.583	21.1	7.95971	74517.7	
2019-06-12 12:57:45	29	17-6	0.031	0.583	21.5	3.44742	16233.7	
2019-06-12 13:01:14	52	17-7	0.007	0.221	21.3	2.58825	-32.7595	
2019-06-12 13:02:50	52	17-7	0.008	0.272	21.3	1.86074	40.8126	
2019-06-12 13:05:40	50	17-2	0.029	0.515	21.3	3.05192	2507.86	
2019-06-12 13:07:16	50	17-2	0.029	0.515	21.3	1.51006	33.1907	
