Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-11-04 11:24:35	1		0.985503	27	0.0913857	18.2	0.632	
* 2	2019-11-04 11:26:01	2		0.71319	27	-188.913	18.4	0.632	
* 3	2019-11-04 11:30:48	1		1.87786	98	-1.57619	18.8	0.674	
* 4	2019-11-04 11:32:14	2		2.03068	98	-0.0451872	18.8	0.633	
* 5	2019-11-04 11:34:57	1		1.07079	22	-0.0766405	18.8	0.466	
* 6	2019-11-04 11:36:24	2		0.897417	22	-0.0719298	18.8	0.468	
* 7	2019-11-04 11:39:14	1		0.739984	10	-0.0983056	18.4	0.527	
* 8	2019-11-04 11:40:40	2		0.7114	10	-0.0665654	18.2	0.5164	
* 9	2019-11-04 11:43:26	1		2.47917	78	0.264976	18.4	0.08	
* 10	2019-11-04 11:44:53	2		3.52969	78	0.192494	18.8	0.445	
* 11	2019-11-04 11:47:45	1		1.62695	12	0.339669	19.0364	0.315636	
* 12	2019-11-04 11:49:11	2		1.02743	12	0.133624	18.9	0.452	
* 13	2019-11-04 11:51:47	1		3.8795	99	0.18685	18.4	0.287	
* 14	2019-11-04 11:53:13	2		3.11581	99	0.119899	18.4	0.288	
* 15	2019-11-04 11:56:01	1		1.86415	100	-0.82754	18.4	0.378	
* 16	2019-11-04 11:57:26	2		2.23251	100	-0.130307	18.2	0.382	
* 17	2019-11-04 12:01:25	1		1.27809	26	-0.150145	17.5	0.384	
* 18	2019-11-04 12:02:51	2		1.08128	26	-0.0671074	17.9	0.384	
* 19	2019-11-04 12:05:32	1		1.89389	24	-0.286672	17.9	0	
* 20	2019-11-04 12:06:58	2		2.17609	24	-0.26002	17.9	0.273	
* 21	2019-11-04 12:11:30	1		1.87023	25	-0.409465	17.9	0.097	
* 22	2019-11-04 12:12:57	2		2.11575	25	-0.338708	18	0.099	
* 23	2019-11-04 12:15:22	1		2.2361	79	-0.155176	18	0	
* 24	2019-11-04 12:16:48	2		1.65636	79	-0.168296	18	0.21	
* 25	2019-11-04 12:19:10	1		2.40982	9	-0.13507	17.7	0.158	
* 26	2019-11-04 12:20:37	2		3.38026	9	-0.105881	17.7	0.1584	
* 27	2019-11-04 12:23:52	1		2.20767	97	-0.276078	17.5	0	
* 28	2019-11-04 12:25:18	2		2.04957	97	-0.22048	17.5	0	
* 29	2019-11-04 12:28:40	1		0	97new	0	17.5	-0.0792	
* 30	2019-11-04 12:30:06	2		1.72182	97new	-0.234509	17.5	0.196	
* 31	2019-11-04 12:32:36	1		0	77	0	17.3	0	
* 32	2019-11-04 12:34:02	2		1.23694	77	-0.366342	17.3	0.137	
* 33	2019-11-04 12:36:20	1		0	11	0	17.5	0.259	
* 34	2019-11-04 12:37:46	2		0	11	0	17.7	0.27	
* 35	2019-11-04 12:40:17	1		1.94754	23	-0.444035	17.5	0.238	
* 36	2019-11-04 12:41:43	2		1.751	23	-0.303568	17.5	0.241	
* 37	2019-11-04 12:44:57	1		1.76307	80	-1.16862	17.3	0.164	
* 38	2019-11-04 12:46:23	2		1.35616	80	-0.805308	17.3	0.164	
* 39	2019-11-04 12:48:47	1		1.56501	28	-0.554698	16.8	0.191	
* 40	2019-11-04 12:50:13	2		1.52806	28	-0.52979	16.8	0.193	
* 41	2019-11-04 12:53:13	1		0.900817	21	-0.303236	16.7	0.359	
* 42	2019-11-04 12:54:38	2		1.21155	21	-0.378562	16.7	0.361	
* 43	2019-11-04 12:58:03	1		2.33681	119	-2.49518	16.5	0.213	
* 44	2019-11-04 12:59:29	2		2.2513	119	-2.39192	16.3	0.211	
* 45	2019-11-04 13:01:41	1		1.11964	117	-1.16463	15.8	0.218333	
* 46	2019-11-04 13:03:07	2		1.19504	117	-1.18314	15.8	0.195	
* 47	2019-11-04 13:05:33	1		1.66623	120	-1.19594	15.8	0	
* 48	2019-11-04 13:06:59	2		1.496	120	-1.14018	15.8	0.182	
* 49	2019-11-04 13:09:45	1		1.89639	118	-1.18194	15.58	0.1332	
* 50	2019-11-04 13:11:11	2		1.72598	118	-1.30244	15.5	0.223	
* 51	2019-11-04 13:13:46	1		1.51888	123	-1.93277	15.4	0.141	
* 52	2019-11-04 13:15:12	2		2.36703	123	-1.89728	15.2	0.142	
* 53	2019-11-04 13:17:49	1		1.65954	122	-2.66563	15	0.201	
* 54	2019-11-04 13:19:15	2		1.93572	122	-2.41328	15.2	0.202	
* 55	2019-11-04 13:21:42	1		1.67044	124	-1.70191	15.68	-0.0338	
* 56	2019-11-04 13:23:08	2		1.45268	124	-1.63443	15.7	0.173	
* 57	2019-11-04 13:25:43	1		1.82794	121	-0.97719	15.7	2.77556e-17	
* 58	2019-11-04 13:27:09	2		2.91646	121	-1.02799	15.5	0.23	
* 59	2019-11-04 14:32:37	1		0	6	0	18.24	-0.042	
* 60	2019-11-04 14:34:03	2		2.68058	6	-0.512887	18	0.21	
* 61	2019-11-04 14:36:24	1		1.71718	93	0.103367	17.9	0	
* 62	2019-11-04 14:37:51	2		2.00771	93	0.123028	17.7	0.229	
* 63	2019-11-04 14:40:06	1		3.77305	5	-0.181935	17.3	0.153	
* 64	2019-11-04 14:41:33	2		6.71286	5	-0.400834	17.2	0.159	
* 65	2019-11-04 14:43:57	1		1.12611	36	-0.0590944	16.8	0	
* 66	2019-11-04 14:46:40	1		1.83477	36new	-0.0958786	16.78	-0.1236	
* 67	2019-11-04 14:48:05	2		2.08571	36new	-0.107277	16.5	0.314	
* 68	2019-11-04 14:50:44	1		1.55906	76	-0.222643	16.2733	0.116067	
* 69	2019-11-04 14:52:10	2		1.79784	76	-0.207269	16	0.381	
* 70	2019-11-04 14:54:46	1		3.84536	16	-0.174042	15.8	0.407	
* 71	2019-11-04 14:56:11	2		0.838854	16	-0.086791	15.8	0.401	
* 72	2019-11-04 14:58:48	1		1.16159	74	-0.0493828	15.7	0.325	
* 73	2019-11-04 15:00:14	2		1.25364	74	-0.138474	15.5	0.324	
* 74	2019-11-04 15:02:33	1		1.99511	94	-0.0501052	15.5	0	
* 75	2019-11-04 15:03:58	2		2.16844	94	-0.0804593	15.7	0.228	
* 76	2019-11-04 15:06:13	1		0.963296	14	-0.0470761	15.7	0.016	
* 77	2019-11-04 15:07:39	2		1.03987	14	-0.0877373	15.7	0.277	
* 78	2019-11-04 15:10:25	1		1.00582	35	-0.0266881	15.7	0.016	
* 79	2019-11-04 15:11:51	2		1.15336	35	0.0735877	15.5	0.37	
* 80	2019-11-04 15:14:17	1		1.32695	13	-0.112789	15.5	0.016	
* 81	2019-11-04 15:15:43	2		1.2861	13	-0.0910741	15.4	0.275	
