Site,Plot,Tag,Extra_tag,Species_code,DBH_cm_2018,State_2018,Date_2018,DBH_cm_2019,State_2019,Date_2019,Notes
SERC,HSLE,701,,,9.7,Alive,2018-04-13,9.8,Alive,2019-04-16,
SERC,HSLE,702,,NYSY,20.9,Alive,2018-04-13,21,Alive,2019-04-16,
SERC,HSLE,703,,LIST,44.1,Alive,2018-04-13,44.2,Alive,2019-04-16,
SERC,HSLE,704,,,55.5,Alive,2018-04-13,51.5,Alive,2019-04-16,
SERC,HSLE,705,,,44.3,Alive,2018-04-13,44.6,Alive,2019-04-16,
SERC,HSLE,706,,,39.8,Alive,2018-04-13,40,Alive,2019-04-16,
SERC,HSLE,707,,,8,Alive,2018-04-13,8.4,Alive,2019-04-16,
SERC,HSLE,708,,,30.9,Dead,2018-04-13,30.9,Dead,2019-04-16,
SERC,HSLE,709,,,34.7,Alive,2018-04-13,34.7,Alive,2019-04-16,
SERC,HSLE,710,,,6.3,Dead,2018-04-13,6.3,Dead,2019-04-16,
SERC,HSLE,711,,,47,Alive,2018-04-13,47.6,Alive,2019-04-16,
SERC,HSLE,712,,LIST,41.3,Alive,2018-04-13,41.2,Alive,2019-04-16,
SERC,HSLE,713,,ACRU,20.9,Alive,2018-04-13,39.5,Alive,2019-04-16,
SERC,HSLE,714,,,8.6,Alive,2018-04-13,8.7,Alive,2019-04-16,
SERC,HSLE,715,,,12.2,Dead,2018-04-13,12.2,Down,2019-04-16,
SERC,HSLE,716,,,6,Alive,2018-04-13,6.1,Alive,2019-04-16,
SERC,HSLE,717,,,9.7,Alive,2018-04-13,9.7,Alive,2019-04-16,
SERC,HSLE,718,,ACRU,35.6,Alive,2018-04-13,35.6,Alive,2019-04-16,
SERC,HSLE,719,,ACRU,22.3,Alive,2018-04-13,22.5,Alive,2019-04-16,
SERC,HSLE,720,,,12,Alive,2018-04-13,12,Alive,2019-04-16,2018 thought dead
SERC,HSLE,721,,,5.3,Dead,2018-04-13,5.2,Dead,2019-04-16,
SERC,HSLE,722,,,11.8,Alive,2018-04-13,11.8,Alive,2019-04-16,
SERC,HSLE,723,,,17,Alive,2018-04-13,17,Alive,2019-04-16,
SERC,HSLE,724,,QU??,91.4,Alive,2018-04-13,92.2,Alive,2019-04-16,
SERC,HSLE,725,,QU??,59,Alive,2018-04-13,59.2,Alive,2019-04-16,
SERC,HSLE,726,,ACRU,3.9,Alive,2018-04-13,3.9,Alive,2019-04-16,
SERC,HSLE,727,,QU??,8.9,Alive,2018-04-13,9,Alive,2019-04-16,
SERC,HSLE,728,,FAGR,16.1,Alive,2018-04-13,10.3,Alive,2019-04-16,
SERC,HSLE,729,,,13.1,Dead,2018-04-13,13.1,Alive,2019-04-16,
SERC,HSLE,730,,,57.3,Alive,2018-04-13,57.3,Alive,2019-04-16,
SERC,HSLE,731,,FAGR,3.7,Alive,2018-04-13,3.8,Alive,2019-04-16,
SERC,HSLE,732,,,35.1,Alive,2018-04-13,35.2,Alive,2019-04-16,
SERC,HSLE,733,,FAGR,4.7,Alive,2018-04-13,4.8,Alive,2019-04-16,
SERC,HSLE,734,,,19.9,Alive,2018-04-13,20.1,Alive,2019-04-16,
SERC,HSLE,735,,FAGR,12.2,Alive,2018-04-13,12.5,Alive,2019-04-16,
SERC,HSLE,736,,,12.1,Alive,2018-04-13,12,Alive,2019-04-16,
SERC,HSLE,737,,,7.9,Alive,2018-04-13,7.9,Alive,2019-04-16,
SERC,HSLE,738,,,40.5,Alive,2018-04-13,40.7,Alive,2019-04-16,
SERC,HSLE,739,,,9.3,Alive,2018-04-13,9.1,Alive,2019-04-16,
SERC,HSLE,740,,,25.3,Alive,2018-04-13,25.6,Alive,2019-04-16,
SERC,HSLE,741,,,27.7,Dead,2018-04-13,27.7,Dead,2019-04-16,
