Species_code,Species,Species_common
ACRU,Acer rubrum,Red maple
CA??,Carya spp.,Hickory (undetermined)
CACA,Carpinus caroliniana,Ironwood
CO??,Dogwood spp.,Dogwood (undetermined)
FAGR,Fagus grandifolia,American beech
ILOP,Ilex opaca,American holly
JUVI,Juniperus virginiana,Eastern cedar
LIST,Liquidambar styraciflua,Sweet gum
LITU,Liriodendron tulipifera,Tulip popular
NYSY,Nyssa sylvatica,Black gum
PATO,Paulownia tomentosa,Princesstree
PRSE,Prunus serotina,Black cherry
QU??,Quercus spp.,Oak (undetermined)
QUAL,Quercus alba,White oak
QUMO,Quercus montana,Chestnut oak
QURU,Quercus rubra,Red oak
