Collar,Distance_m,tree_num,BA_sqm,n
69,3.8,1,0.09456900745652336,1
69,4.1,1,0.19410722909286238,2
69,5.3,1,NA,3
69,6.2,1,NA,4
69,6.3,1,NA,5
69,6.5,1,NA,6
69,6.7,1,NA,7
69,6.8,1,NA,8
69,7.2,1,NA,9
69,7.3,1,NA,10
69,7.8,2,NA,12
69,8.45,1,NA,13
69,8.6,1,NA,14
69,8.7,1,NA,15
69,9.1,1,NA,16
70,3.4,1,0.002206183440983432,1
70,3.6,1,0.04126324870857514,2
70,3.85,1,0.0525729822614984,3
70,4.5,1,NA,4
70,5,1,NA,5
70,5.3,1,NA,6
70,5.5,1,NA,7
70,5.8,1,NA,8
70,5.9,1,NA,9
70,6,1,NA,10
70,7.7,1,NA,11
70,7.9,1,NA,12
70,8,2,NA,14
70,8.6,1,NA,15
70,9.05,1,NA,16
71,1.3,1,0.09456900745652336,1
71,2.1,1,NA,2
71,2.85,1,NA,3
71,4.6,1,NA,4
71,5.5,1,NA,5
71,6.4,1,NA,6
71,6.95,1,NA,7
71,8.1,1,NA,8
71,8.9,1,NA,9
71,9,1,NA,10
71,9.1,2,NA,12
71,9.65,1,NA,13
71,9.8,1,NA,14
72,2.5,1,0.005026548245743669,1
72,3.3,1,0.08001715028509543,2
72,4,1,0.17458615774161879,3
72,4.4,1,0.17770340305214327,4
72,5.45,1,0.35119785734663955,5
72,6.1,1,NA,6
72,7.1,2,NA,8
72,7.15,1,NA,9
72,7.4,1,NA,10
72,9.6,1,NA,11
72,9.8,1,NA,12
81,3.2,1,0.04869547152880519,1
81,3.5,1,0.049550770128745016,2
81,3.9,2,0.061872096516124186,4
81,4.2,1,0.08592491527017103,5
81,5.2,1,0.2918123314158317,6
81,5.6,2,0.33045784804580314,8
81,6.5,2,0.37601879550448913,10
81,6.8,1,0.7370537648476817,11
81,7,2,1.081801147078338,13
81,7.5,1,1.092737031105484,14
81,7.8,1,1.1933968013191545,15
81,8.3,1,1.2257622742346,16
81,8.5,3,1.5295024475579488,19
81,9.1,1,1.8532152961764947,20
82,1.6,1,0.04869547152880519,1
82,3.3,1,0.09133395242148926,2
82,3.4,1,0.1283175665377117,3
82,3.9,1,0.17740495175005222,4
82,4.6,1,0.33857572346267917,5
82,5.1,1,0.34023762597642815,6
82,5.9,1,0.341092924576368,7
82,6,1,0.5469803407220286,8
82,6.55,1,0.6476401109356992,9
82,7.4,1,0.649230542216579,10
82,7.55,1,0.6540089046426891,11
82,7.6,1,0.6615518686039582,12
82,8.9,1,NA,13
