Site,Station_SN,Sensor_Type,Sensor_SN,Sensor_Label
HSLE,20377498,TRH,20378787,HSLE_TRH
HSLE,20377498,T2M,20353471,HSLE_T2M_2CM
HSLE,20377498,T2M,20353472,HSLE_T2M_20CM
HSLE,20377498,T6M,20372264,HSLE_T6M_2CM
HSLE,20377498,T6M,20372265,HSLE_T6M_20CM
HSLE,20377498,T17M,20362711,HSLE_T17M_2CM
HSLE,20377498,T17M,20362712,HSLE_T17M_20CM
HSLE,20377498,SM5M,20378026,HSLE_SM5M_UP
HSLE,20377498,SM5M,20378027,HSLE_SM5M_DWN
MSLE,20377497,TRH,20378789,MSLE_TRH
MSLE,20377497,T2M,20353469,MSLE_T2M_2CM
MSLE,20377497,T2M,20353470,MSLE_T2M_20CM
MSLE,20377497,T6M,20372266,MSLE_T6M_2CM
MSLE,20377497,T6M,20372267,MSLE_T6M_20CM
MSLE,20377497,T17M,20362710,MSLE_T17M_2CM
MSLE,20377497,T17M,20362715,MSLE_T17M_20CM
MSLE,20377497,SM5M,20378024,MSLE_SM5M_UP
MSLE,20377497,SM5M,20378025,MSLE_SM5M_DWN
LSLE,20377496,TRH,20378788,LSLE_TRH
LSLE,20377496,T2M,20353473,LSLE_T2M_2CM
LSLE,20377496,T2M,20353474,LSLE_T2M_20CM
LSLE,20377496,T6M,20372262,LSLE_T6M_2CM
LSLE,20377496,T6M,20372263,LSLE_T6M_20CM
LSLE,20377496,T17M,20362713,LSLE_T17M_2CM
LSLE,20377496,T17M,20362714,LSLE_T17M_20CM
LSLE,20377496,SM5M,20378028,LSLE_SM5M_UP
LSLE,20377496,SM5M,20378029,LSLE_SM5M_DWN
