Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_all
LSLE,A,1/10/20,11/15/19,0.7,1.1,19.6
,B,1/10/20,11/15/19,0.7,0.0,18.9
,D,1/10/20,11/15/19,0.8,2.6,29.3
,E,1/10/20,11/15/19,0.0,11.1,22.6
,F,1/10/20,11/15/19,0.4,23.9,27.0
LSHE,A,1/10/20,11/15/19,1.1,4.1,38.9
,B,1/10/20,11/15/19,17.6,4.9,41.9
,C,1/10/20,11/15/19,0.7,1.1,35.9
,D,1/10/20,11/15/19,0.0,4.2,33.8
,E,1/10/20,11/15/19,0.0,4.9,29.4
,F,1/10/20,11/15/19,8.1,1.1,50.1
LSME,A,1/10/20,11/15/19,0.5,3.6,27.7
,B,1/10/20,11/15/19,0.4,4.2,30.7
,C,1/10/20,11/15/19,6.8,3.0,37.7
,D,1/10/20,11/15/19,0.8,1.3,40.8
,E,1/10/20,11/15/19,21.1,1.9,55.0
,F,1/10/20,11/15/19,0.7,0.0,36.3
MSHE,A,1/10/20,11/15/19,1.1,1.0,28.4
,B,1/10/20,11/15/19,0.1,1.6,46.1
,C,1/10/20,11/15/19,2.8,0.9,38.7
,D,1/10/20,11/15/19,1.0,2.9,35.9
,E,1/10/20,11/15/19,0.0,0.1,40.3
,F,1/10/20,11/15/19,0.4,4.1,37.8
MSME,A,1/10/20,11/15/19,6.0,1.7,38.2
,B,1/10/20,11/15/19,1.7,14.1,36.7
,C,1/10/20,11/15/19,0.5,0.0,50.7
,D,1/10/20,11/15/19,0.0,1.4,33.0
,E,1/10/20,11/15/19,0.0,4.5,29.4
,F,1/10/20,11/15/19,4.2,0.7,35.3
MSLE,A,1/10/20,11/15/19,1.3,2.0,32.2
,B,1/10/20,11/15/19,0.0,4.2,27.4
,C,1/10/20,11/15/19,8.0,1.1,25.0
,D,1/10/20,11/15/19,0.0,6.7,28.7
,E,1/10/20,11/15/19,0.0,5.0,35.5
,F,1/10/20,11/15/19,1.0,4.0,30.2
HSHE,A,1/10/20,11/15/19,0.0,1.7,24.8
,B,1/10/20,11/15/19,0.0,3.4,24.4
,C,1/10/20,11/15/19,1.7,5.3,31.3
,D,1/10/20,11/15/19,1.1,4.4,27.8
,E,1/10/20,11/15/19,0.0,0.0,31.8
,F,1/10/20,11/15/19,0.0,2.5,28.3
HSME,A,1/10/20,11/15/19,0.0,2.2,35.7
,B,1/10/20,11/15/19,0.0,2.9,26.1
,C,1/10/20,11/15/19,0.5,1.6,21.6
,D,1/10/20,11/15/19,0.4,2.4,33.7
,E,1/10/20,11/15/19,0.0,0.0,22.1
,F,1/10/20,11/15/19,0.0,1.4,25.0
HSLE,A,1/10/20,11/15/19,2.1,0.7,28.0
,B,1/10/20,11/15/19,0.0,3.6,23.1
,C,1/10/20,11/15/19,1.4,4.1,25.5
,D,1/10/20,11/15/19,2.5,9.0,20.2
,E,1/10/20,11/15/19,5.3,2.2,31.9
,F,1/10/20,11/15/19,1.4,3.5,20.8
