#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20377498, SEN S/N: 20353471)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20353472)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20362711)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20362712)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20372264)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20372265)","Water Content, m³/m³ (LGR S/N: 20377498, SEN S/N: 20378026)","Water Content, m³/m³ (LGR S/N: 20377498, SEN S/N: 20378027)","Temp, °C (LGR S/N: 20377498, SEN S/N: 20378787)","RH, % (LGR S/N: 20377498, SEN S/N: 20378787)"
1,6/12/2018 13:53,18.771,17.368,19.199,17.962,20.174,17.32,0.2736,0.4088,22.178,58.2
2,6/12/2018 14:08,19.056,17.391,19.175,18.01,20.174,17.344,0.2746,0.4195,22.321,57.9
3,6/12/2018 14:23,19.436,17.415,19.151,18.01,20.15,17.344,0.2753,0.4195,22.417,56.5
4,6/12/2018 14:38,19.436,17.439,19.127,18.033,20.126,17.391,0.2759,0.4195,22.321,56.2
5,6/12/2018 14:53,19.532,17.463,19.127,18.057,20.079,17.415,0.2763,0.4188,22.513,57.8
6,6/12/2018 15:08,19.484,17.463,19.103,18.057,20.055,17.439,0.2766,0.4188,22.681,56.8
7,6/12/2018 15:23,19.579,17.486,19.103,18.081,20.007,17.463,0.277,0.4188,22.657,58.9
8,6/12/2018 15:38,19.674,17.51,19.103,18.081,19.984,17.486,0.277,0.4188,22.753,58.6
9,6/12/2018 15:53,19.698,17.534,19.103,18.105,20.031,17.51,0.2773,0.4181,22.657,61.3
10,6/12/2018 16:08,19.746,17.534,19.127,18.105,20.055,17.534,0.2773,0.4188,22.968,59.8
11,6/12/2018 16:23,19.888,17.558,19.127,18.105,20.079,17.558,0.2776,0.4181,22.92,59.5
12,6/12/2018 16:38,19.817,17.582,19.127,18.129,20.079,17.582,0.278,0.4174,22.872,59.4
13,6/12/2018 16:53,19.912,17.605,19.127,18.152,20.055,17.605,0.2783,0.4181,22.393,60.5
14,6/12/2018 17:08,19.77,17.605,19.151,18.152,20.055,17.629,0.2783,0.4236,22.441,60
15,6/12/2018 17:23,19.579,17.629,19.151,18.152,20.007,17.653,0.2786,0.4214,22.321,61
16,6/12/2018 17:38,19.341,17.629,19.151,18.176,19.984,17.677,0.2786,0.4209,22.106,62
17,6/12/2018 17:53,19.508,17.653,19.127,18.2,19.912,17.701,0.2786,0.4202,22.513,62.9
18,6/12/2018 18:08,19.579,17.677,19.103,18.2,19.888,17.724,0.2786,0.4195,22.369,64
19,6/12/2018 18:23,19.555,17.701,19.103,18.2,19.865,17.748,0.279,0.4195,22.106,64.3
20,6/12/2018 18:38,19.555,17.701,19.08,18.2,19.817,17.748,0.279,0.4188,21.987,67.3
21,6/12/2018 18:53,19.413,17.724,19.08,18.224,19.817,17.772,0.2793,0.4195,21.748,65.9
22,6/12/2018 19:08,19.27,17.724,19.056,18.224,19.77,17.796,0.2793,0.4195,21.557,66.8
23,6/12/2018 19:23,19.151,17.724,19.032,18.224,19.722,17.796,0.2793,0.4188,21.533,66.2
