"Plot Title: 20377497"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20377497, SEN S/N: 20353469)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20353470)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20362710)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20362715)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20372266)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20372267)","Water Content, m³/m³ (LGR S/N: 20377497, SEN S/N: 20378024)","Water Content, m³/m³ (LGR S/N: 20377497, SEN S/N: 20378025)","Temp, °C (LGR S/N: 20377497, SEN S/N: 20378789)","RH, % (LGR S/N: 20377497, SEN S/N: 20378789)"
1,06/12/18 02:48:03 PM,17.677,17.201,17.439,16.915,17.439,16.939,0.2857,0.4346,22.321,61.000
2,06/12/18 03:03:03 PM,17.653,17.201,17.486,16.915,17.439,16.915,0.2853,0.4339,22.393,60.100
3,06/12/18 03:18:03 PM,17.653,17.201,17.510,16.915,17.463,16.939,0.2850,0.4339,22.465,60.500
4,06/12/18 03:33:03 PM,17.629,17.225,17.534,16.939,17.463,16.939,0.2847,0.4339,22.537,58.700
5,06/12/18 03:48:03 PM,17.629,17.225,17.558,16.963,17.486,16.963,0.2844,0.4339,22.585,58.700
6,06/12/18 04:03:03 PM,17.629,17.225,17.582,16.963,17.486,16.963,0.2840,0.4346,22.753,61.100
7,06/12/18 04:18:03 PM,17.629,17.225,17.582,16.987,17.534,16.963,0.2837,0.4339,22.705,60.900
8,06/12/18 04:33:03 PM,17.629,17.249,17.629,16.987,17.534,16.987,0.2837,0.4346,22.800,59.200
9,06/12/18 04:48:03 PM,17.653,17.249,17.629,17.011,17.558,16.987,0.2834,0.4346,22.848,60.800
10,06/12/18 05:03:03 PM,17.677,17.249,17.677,17.011,17.582,16.987,0.2830,0.4339,22.465,60.700
11,06/12/18 05:18:03 PM,17.677,17.249,17.677,17.034,17.582,17.011,0.2830,0.4332,22.585,61.500
12,06/12/18 05:33:03 PM,17.677,17.249,17.677,17.034,17.605,17.011,0.2827,0.4332,22.561,61.300
13,06/12/18 05:48:03 PM,17.701,17.272,17.701,17.058,17.605,17.011,0.2827,0.4332,22.585,63.900
14,06/12/18 06:03:03 PM,17.724,17.272,17.724,17.058,17.629,17.034,0.2824,0.4332,22.585,64.200
15,06/12/18 06:18:03 PM,17.724,17.272,17.724,17.058,17.629,17.034,0.2824,0.4332,22.321,65.500
16,06/12/18 06:33:03 PM,17.748,17.272,17.748,17.082,17.653,17.058,0.2824,0.4332,22.226,65.800
17,06/12/18 06:48:03 PM,17.772,17.296,17.748,17.082,17.677,17.058,0.2821,0.4332,22.082,65.600
18,06/12/18 07:03:03 PM,17.796,17.296,17.772,17.106,17.677,17.058,0.2821,0.4332,21.819,67.400
19,06/12/18 07:18:03 PM,17.819,17.296,17.772,17.106,17.677,17.082,0.2821,0.4332,21.819,67.300
20,06/12/18 07:33:03 PM,17.796,17.296,17.772,17.130,17.677,17.082,0.2821,0.4332,21.748,68.000
21,06/12/18 07:48:03 PM,17.796,17.320,17.772,17.130,17.677,17.082,0.2821,0.4332,21.294,70.500
22,06/12/18 08:03:03 PM,17.796,17.344,17.772,17.153,17.677,17.106,0.2821,0.4325,20.650,74.100
23,06/12/18 08:18:03 PM,17.796,17.344,17.748,17.153,17.653,17.106,0.2817,0.4325,20.507,75.500
24,06/12/18 08:33:03 PM,17.796,17.344,17.748,17.153,17.653,17.106,0.2821,0.4325,20.460,75.900
25,06/12/18 08:48:03 PM,17.819,17.344,17.748,17.177,17.653,17.106,0.2817,0.4325,20.365,76.200
26,06/12/18 09:03:03 PM,17.819,17.344,17.748,17.177,17.653,17.130,0.2817,0.4325,20.317,76.500
27,06/12/18 09:18:03 PM,17.843,17.344,17.748,17.201,17.653,17.130,0.2817,0.4325,20.126,79.200
28,06/12/18 09:33:03 PM,17.867,17.368,17.748,17.201,17.677,17.130,0.2817,0.4325,20.126,77.600
29,06/12/18 09:48:03 PM,17.867,17.368,17.748,17.201,17.677,17.130,0.2821,0.4325,20.126,77.600
30,06/12/18 10:03:03 PM,17.891,17.368,17.748,17.225,17.677,17.153,0.2821,0.4325,20.174,78.300
31,06/12/18 10:18:03 PM,17.915,17.368,17.748,17.225,17.677,17.153,0.2817,0.4325,20.222,78.300
32,06/12/18 10:33:03 PM,17.915,17.391,17.748,17.225,17.677,17.153,0.2821,0.4325,20.103,79.700
33,06/12/18 10:48:03 PM,17.915,17.391,17.748,17.225,17.677,17.153,0.2821,0.4325,20.150,80.700
34,06/12/18 11:03:03 PM,17.915,17.391,17.772,17.249,17.677,17.153,0.2817,0.4325,20.055,81.800
