"Plot Title: HSLE"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","High Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","Temp, °F (LGR S/N: 20370966, SEN S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)"
1,01/09/30 11:23:57 AM,1123.4,1041.0,64.65,Logged,,,
2,01/09/30 11:53:57 AM,1088.4,1002.7,64.22,,,,
3,01/09/30 12:23:57 PM,1078.0,990.4,64.06,,,,
4,01/09/30 12:53:57 PM,1073.8,986.0,63.99,,,,
5,01/09/30 01:23:57 PM,1070.9,982.6,63.93,,,,
6,01/09/30 01:53:57 PM,1069.0,980.4,63.90,,,,
7,01/09/30 02:23:57 PM,1068.6,980.4,63.88,,,,
8,01/09/30 02:53:57 PM,1068.1,979.8,63.86,,,,
9,01/09/30 03:23:57 PM,1068.1,979.3,63.86,,,,
10,01/09/30 03:53:57 PM,1067.6,978.7,63.84,,,,
11,01/09/30 04:23:57 PM,1067.6,979.3,63.84,,,,
12,01/09/30 04:53:57 PM,1067.6,979.3,63.84,,,,
13,01/09/30 05:23:57 PM,1067.6,979.3,63.84,,,,
14,01/09/30 05:53:57 PM,1067.6,978.7,63.84,,,,
15,01/09/30 06:23:57 PM,1067.6,978.7,63.82,,,,
16,01/09/30 06:53:57 PM,1067.6,979.3,63.82,,,,
17,01/09/30 07:23:57 PM,1068.1,979.3,63.82,,,,
18,01/09/30 07:53:57 PM,1067.6,979.8,63.82,,,,
19,01/09/30 08:23:57 PM,1068.1,979.8,63.82,,,,
20,01/09/30 08:53:57 PM,1068.1,979.3,63.82,,,,
21,01/09/30 09:23:57 PM,1068.1,979.8,63.82,,,,
22,01/09/30 09:53:57 PM,1068.1,979.3,63.82,,,,
23,01/09/30 10:23:57 PM,1068.6,979.8,63.82,,,,
24,01/09/30 10:53:57 PM,1068.6,979.8,63.84,,,,
25,01/09/30 11:23:57 PM,1068.6,979.8,63.84,,,,
26,01/09/30 11:53:57 PM,1068.6,980.4,63.86,,,,
27,01/10/30 12:23:57 AM,1068.6,980.4,63.86,,,,
28,01/10/30 12:53:57 AM,1068.6,980.4,63.86,,,,
29,01/10/30 01:23:57 AM,1069.0,980.9,63.86,,,,
30,01/10/30 01:53:57 AM,1069.0,980.9,63.88,,,,
31,01/10/30 02:23:57 AM,1070.0,982.1,63.88,,,,
32,01/10/30 02:53:57 AM,1070.0,981.5,63.90,,,,
33,01/10/30 03:23:57 AM,1070.4,982.6,63.93,,,,
34,01/10/30 03:53:57 AM,1070.4,982.6,63.93,,,,
35,01/10/30 04:23:57 AM,1070.9,983.2,63.93,,,,
36,01/10/30 04:53:57 AM,1071.4,983.7,63.95,,,,
37,01/10/30 05:23:57 AM,1071.4,984.3,63.95,,,,
