"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","Temp, °F (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
1,07/09/18 11:59:04 AM,82.1,106.9,69.69,,,,,,,,,,,,,,,,,,,,,,,,
2,07/09/18 11:59:20 AM,,,,Logged,,,,,,,,,,,,,,,,,,,,,,,
3,07/09/18 12:29:04 PM,5384.9,5476.5,68.70,,,,,,,,,,,,,,,,,,,,,,,,
4,07/09/18 12:59:04 PM,5322.4,5408.4,68.47,,,,,,,,,,,,,,,,,,,,,,,,
5,07/09/18 01:29:04 PM,5307.2,5391.6,68.36,,,,,,,,,,,,,,,,,,,,,,,,
6,07/09/18 01:59:04 PM,5297.9,5383.2,68.32,,,,,,,,,,,,,,,,,,,,,,,,
7,07/09/18 02:29:04 PM,5293.3,5378.0,68.27,,,,,,,,,,,,,,,,,,,,,,,,
8,07/09/18 02:59:04 PM,5289.3,5374.1,68.23,,,,,,,,,,,,,,,,,,,,,,,,
9,07/09/18 03:29:04 PM,5283.4,5370.3,68.22,,,,,,,,,,,,,,,,,,,,,,,,
10,07/09/18 03:59:04 PM,5279.4,5365.7,68.20,,,,,,,,,,,,,,,,,,,,,,,,
11,07/09/18 04:29:04 PM,5276.1,5361.9,68.18,,,,,,,,,,,,,,,,,,,,,,,,
12,07/09/18 04:59:04 PM,5275.4,5358.0,68.16,,,,,,,,,,,,,,,,,,,,,,,,
13,07/09/18 05:29:04 PM,5271.5,5355.4,68.14,,,,,,,,,,,,,,,,,,,,,,,,
14,07/09/18 05:59:04 PM,5269.5,5351.5,68.13,,,,,,,,,,,,,,,,,,,,,,,,
15,07/09/18 06:29:04 PM,5265.5,5350.2,68.09,,,,,,,,,,,,,,,,,,,,,,,,
16,07/09/18 06:59:04 PM,5265.5,5347.0,68.07,,,,,,,,,,,,,,,,,,,,,,,,
17,07/09/18 07:29:04 PM,5261.6,5344.4,68.07,,,,,,,,,,,,,,,,,,,,,,,,
18,07/09/18 07:59:04 PM,5264.2,5342.5,68.05,,,,,,,,,,,,,,,,,,,,,,,,
19,07/09/18 08:29:04 PM,5257.6,5339.2,68.04,,,,,,,,,,,,,,,,,,,,,,,,
20,07/09/18 08:59:04 PM,5257.6,5337.9,68.02,,,,,,,,,,,,,,,,,,,,,,,,
21,07/09/18 09:29:04 PM,5256.3,5335.4,68.02,,,,,,,,,,,,,,,,,,,,,,,,
22,07/09/18 09:59:04 PM,5253.7,5333.4,68.00,,,,,,,,,,,,,,,,,,,,,,,,
23,07/09/18 10:29:04 PM,5256.3,5332.8,67.96,,,,,,,,,,,,,,,,,,,,,,,,
24,07/09/18 10:59:04 PM,5253.0,5331.5,67.96,,,,,,,,,,,,,,,,,,,,,,,,
25,07/09/18 11:29:04 PM,5252.3,5330.8,67.95,,,,,,,,,,,,,,,,,,,,,,,,
26,07/09/18 11:59:04 PM,5252.3,5329.6,67.95,,,,,,,,,,,,,,,,,,,,,,,,
27,07/10/18 12:29:04 AM,5248.4,5328.9,67.95,,,,,,,,,,,,,,,,,,,,,,,,
28,07/10/18 12:59:04 AM,5255.0,5327.0,67.93,,,,,,,,,,,,,,,,,,,,,,,,
29,07/10/18 01:29:04 AM,5251.0,5328.9,67.93,,,,,,,,,,,,,,,,,,,,,,,,
30,07/10/18 01:59:04 AM,5251.0,5327.0,67.91,,,,,,,,,,,,,,,,,,,,,,,,
31,07/10/18 02:29:04 AM,5251.0,5328.3,67.91,,,,,,,,,,,,,,,,,,,,,,,,
32,07/10/18 02:59:04 AM,5256.3,5330.2,67.89,,,,,,,,,,,,,,,,,,,,,,,,
33,07/10/18 03:29:04 AM,5256.3,5330.8,67.89,,,,,,,,,,,,,,,,,,,,,,,,
34,07/10/18 03:59:04 AM,5255.0,5330.8,67.89,,,,,,,,,,,,,,,,,,,,,,,,
35,07/10/18 04:29:04 AM,5255.6,5330.8,67.89,,,,,,,,,,,,,,,,,,,,,,,,
36,07/10/18 04:59:04 AM,5257.6,5330.8,67.89,,,,,,,,,,,,,,,,,,,,,,,,
37,07/10/18 05:29:04 AM,5257.6,5330.8,67.89,,,,,,,,,,,,,,,,,,,,,,,,
38,07/10/18 05:59:04 AM,5257.0,5330.8,67.87,,,,,,,,,,,,,,,,,,,,,,,,
39,07/10/18 06:29:04 AM,5256.3,5330.2,67.87,,,,,,,,,,,,,,,,,,,,,,,,
40,07/10/18 06:59:04 AM,5256.3,5330.2,67.87,,,,,,,,,,,,,,,,,,,,,,,,
41,07/10/18 07:29:04 AM,5256.3,5329.6,67.87,,,,,,,,,,,,,,,,,,,,,,,,
42,07/10/18 07:59:04 AM,5255.0,5329.6,67.87,,,,,,,,,,,,,,,,,,,,,,,,
43,07/10/18 08:29:04 AM,5255.6,5328.3,67.84,,,,,,,,,,,,,,,,,,,,,,,,
44,07/10/18 08:59:04 AM,5254.3,5326.3,67.84,,,,,,,,,,,,,,,,,,,,,,,,
45,07/10/18 09:29:04 AM,5257.6,5327.6,67.84,,,,,,,,,,,,,,,,,,,,,,,,
46,07/10/18 09:59:04 AM,5254.3,5326.3,67.84,,,,,,,,,,,,,,,,,,,,,,,,
47,07/10/18 10:29:04 AM,5253.0,5325.7,67.84,,,,,,,,,,,,,,,,,,,,,,,,
48,07/10/18 10:59:04 AM,5256.3,5323.7,67.82,,,,,,,,,,,,,,,,,,,,,,,,
49,07/10/18 11:29:04 AM,5255.6,5323.1,67.82,,,,,,,,,,,,,,,,,,,,,,,,
50,07/10/18 11:59:04 AM,5255.6,5322.5,67.82,,,,,,,,,,,,,,,,,,,,,,,,
51,07/10/18 12:29:04 PM,5251.7,5322.5,67.80,,,,,,,,,,,,,,,,,,,,,,,,
52,07/10/18 12:59:04 PM,5251.0,5321.2,67.80,,,,,,,,,,,,,,,,,,,,,,,,
53,07/10/18 01:29:04 PM,5251.0,5320.5,67.80,,,,,,,,,,,,,,,,,,,,,,,,
54,07/10/18 01:59:04 PM,5250.4,5318.6,67.78,,,,,,,,,,,,,,,,,,,,,,,,
55,07/10/18 02:29:04 PM,5249.7,5317.9,67.78,,,,,,,,,,,,,,,,,,,,,,,,
56,07/10/18 02:59:04 PM,5252.3,5317.9,67.77,,,,,,,,,,,,,,,,,,,,,,,,
57,07/10/18 03:29:04 PM,5249.7,5317.9,67.77,,,,,,,,,,,,,,,,,,,,,,,,
