"","Timestamp","Low_Range","High_Range","Temp_degF"
"1",2018-07-09 11:59:04,82.1,106.9,69.69
"2",2018-07-09 11:59:20,NA,NA,NA
"3",2018-07-09 12:29:04,5384.9,5476.5,68.7
"4",2018-07-09 12:59:04,5322.4,5408.4,68.47
"5",2018-07-09 13:29:04,5307.2,5391.6,68.36
"6",2018-07-09 13:59:04,5297.9,5383.2,68.32
"7",2018-07-09 14:29:04,5293.3,5378,68.27
"8",2018-07-09 14:59:04,5289.3,5374.1,68.23
"9",2018-07-09 15:29:04,5283.4,5370.3,68.22
"10",2018-07-09 15:59:04,5279.4,5365.7,68.2
"11",2018-07-09 16:29:04,5276.1,5361.9,68.18
"12",2018-07-09 16:59:04,5275.4,5358,68.16
"13",2018-07-09 17:29:04,5271.5,5355.4,68.14
"14",2018-07-09 17:59:04,5269.5,5351.5,68.13
"15",2018-07-09 18:29:04,5265.5,5350.2,68.09
"16",2018-07-09 18:59:04,5265.5,5347,68.07
"17",2018-07-09 19:29:04,5261.6,5344.4,68.07
"18",2018-07-09 19:59:04,5264.2,5342.5,68.05
"19",2018-07-09 20:29:04,5257.6,5339.2,68.04
"20",2018-07-09 20:59:04,5257.6,5337.9,68.02
"21",2018-07-09 21:29:04,5256.3,5335.4,68.02
"22",2018-07-09 21:59:04,5253.7,5333.4,68
"23",2018-07-09 22:29:04,5256.3,5332.8,67.96
"24",2018-07-09 22:59:04,5253,5331.5,67.96
"25",2018-07-09 23:29:04,5252.3,5330.8,67.95
"26",2018-07-09 23:59:04,5252.3,5329.6,67.95
"27",2018-07-10 00:29:04,5248.4,5328.9,67.95
"28",2018-07-10 00:59:04,5255,5327,67.93
"29",2018-07-10 01:29:04,5251,5328.9,67.93
"30",2018-07-10 01:59:04,5251,5327,67.91
"31",2018-07-10 02:29:04,5251,5328.3,67.91
"32",2018-07-10 02:59:04,5256.3,5330.2,67.89
"33",2018-07-10 03:29:04,5256.3,5330.8,67.89
"34",2018-07-10 03:59:04,5255,5330.8,67.89
"35",2018-07-10 04:29:04,5255.6,5330.8,67.89
"36",2018-07-10 04:59:04,5257.6,5330.8,67.89
"37",2018-07-10 05:29:04,5257.6,5330.8,67.89
"38",2018-07-10 05:59:04,5257,5330.8,67.87
"39",2018-07-10 06:29:04,5256.3,5330.2,67.87
"40",2018-07-10 06:59:04,5256.3,5330.2,67.87
"41",2018-07-10 07:29:04,5256.3,5329.6,67.87
"42",2018-07-10 07:59:04,5255,5329.6,67.87
"43",2018-07-10 08:29:04,5255.6,5328.3,67.84
"44",2018-07-10 08:59:04,5254.3,5326.3,67.84
"45",2018-07-10 09:29:04,5257.6,5327.6,67.84
"46",2018-07-10 09:59:04,5254.3,5326.3,67.84
"47",2018-07-10 10:29:04,5253,5325.7,67.84
