"Plot Title: HSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","High Range, μS/cm (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","Temp, °F (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)"
3,07/09/18 10:53:28 AM,2766.9,2941.0,68.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,07/09/18 11:23:28 AM,2751.7,2923.5,67.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,07/09/18 11:53:28 AM,2747.5,2918.6,67.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,07/09/18 12:23:28 PM,2746.4,2916.8,67.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,07/09/18 12:53:28 PM,2744.3,2913.8,67.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,07/09/18 01:23:28 PM,2743.3,2912.6,67.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,07/09/18 01:53:28 PM,2741.2,2911.4,67.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,07/09/18 02:23:28 PM,2741.2,2911.4,67.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,07/09/18 02:53:28 PM,2741.2,2910.2,67.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,07/09/18 03:23:28 PM,2740.1,2910.2,67.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,07/09/18 03:53:28 PM,2740.1,2909.6,67.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,07/09/18 04:23:28 PM,2738.6,2909.6,67.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,07/09/18 04:53:28 PM,2736.0,2907.7,67.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
