"Plot Title: HSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","High Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","Temp, °C (LGR S/N: 20370966, SEN S/N: 20370966)"
1,09/13/19 02:06:22 PM,70.5,156.6,19.19
2,09/13/19 02:36:22 PM,5658.2,5598.5,20.95
3,09/13/19 03:06:22 PM,5645.4,5589.7,20.92
4,09/13/19 03:36:22 PM,5645.4,5587.5,20.92
5,09/13/19 04:06:22 PM,5642.2,5587.5,20.92
6,09/13/19 04:36:22 PM,5642.8,5586.4,20.92
7,09/13/19 05:06:22 PM,5640.3,5583.7,20.90
8,09/13/19 05:36:22 PM,5639.6,5583.2,20.90
9,09/13/19 06:06:22 PM,5794.4,5717.0,21.01
10,09/13/19 06:36:22 PM,6213.1,6078.2,20.74
11,09/13/19 07:06:22 PM,6343.9,6195.9,20.69
12,09/13/19 07:36:22 PM,6386.3,6235.8,20.64
13,09/13/19 08:06:22 PM,6436.1,6275.9,20.70
14,09/13/19 08:36:22 PM,6457.0,6295.7,20.74
15,09/13/19 09:06:22 PM,6457.0,6295.7,20.80
16,09/13/19 09:36:22 PM,6456.4,6294.0,20.82
17,09/13/19 10:06:22 PM,6453.7,6292.8,20.83
18,09/13/19 10:36:22 PM,6446.9,6284.6,20.83
19,09/13/19 11:06:22 PM,6440.8,6280.0,20.84
20,09/13/19 11:36:22 PM,6434.1,6273.6,20.84
21,09/14/19 12:06:22 AM,6427.3,6268.9,20.84
22,09/14/19 12:36:22 AM,6421.9,6264.8,20.84
23,09/14/19 01:06:22 AM,6414.5,6257.8,20.83
24,09/14/19 01:36:22 AM,6611.9,6427.9,20.74
25,09/14/19 02:06:22 AM,6717.5,6523.2,20.65
26,09/14/19 02:36:22 AM,6812.7,6611.5,20.68
27,09/14/19 03:06:22 AM,6914.1,6700.8,20.65
28,09/14/19 03:36:22 AM,7033.0,6809.0,20.59
29,09/14/19 04:06:22 AM,7098.5,6869.2,20.58
30,09/14/19 04:36:22 AM,7109.1,6879.1,20.57
31,09/14/19 05:06:22 AM,7140.2,6905.4,20.59
32,09/14/19 05:36:22 AM,7181.3,6944.2,20.62
33,09/14/19 06:06:22 AM,7216.8,6975.1,20.63
34,09/14/19 06:36:22 AM,7232.4,6991.5,20.69
35,09/14/19 07:06:22 AM,7226.0,6984.5,20.71
36,09/14/19 07:36:22 AM,7222.5,6978.8,20.73
37,09/14/19 08:06:22 AM,7212.5,6971.3,20.74
38,09/14/19 08:36:22 AM,7204.0,6963.7,20.74
39,09/14/19 09:06:22 AM,7193.3,6955.5,20.74
40,09/14/19 09:36:22 AM,7185.5,6948.0,20.73
41,09/14/19 10:06:22 AM,7176.3,6938.6,20.73
42,09/14/19 10:36:22 AM,7169.2,6929.8,20.73
43,09/14/19 11:06:22 AM,7155.8,6919.7,20.71
44,09/14/19 11:36:22 AM,7148.0,6910.4,20.71
45,09/14/19 12:06:22 PM,7133.1,6899.7,20.70
46,09/14/19 12:36:22 PM,7122.5,6891.6,20.69
