"Plot Title: MSLE"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967, SEN S/N: 20370967)"
1,01/09/30 11:25:52 AM,7915.5,7768.0,22.47
2,01/09/30 11:55:52 AM,7855.9,7716.7,22.37
3,01/09/30 12:25:52 PM,7836.6,7702.4,22.33
4,01/09/30 12:55:52 PM,7832.0,7694.6,22.30
5,01/09/30 01:25:52 PM,7821.2,7688.2,22.29
6,01/09/30 01:55:52 PM,7817.4,7685.3,22.29
7,01/09/30 02:25:52 PM,7849.8,7715.2,22.29
8,01/09/30 02:55:52 PM,7913.9,7779.5,22.29
9,01/09/30 03:25:52 PM,7945.0,7808.1,22.29
10,01/09/30 03:55:52 PM,7942.6,7807.3,22.27
11,01/09/30 04:25:52 PM,7945.0,7803.8,22.27
12,01/09/30 04:55:52 PM,7933.3,7795.2,22.27
13,01/09/30 05:25:52 PM,7922.5,7784.5,22.26
14,01/09/30 05:55:52 PM,7918.6,7778.0,22.26
15,01/09/30 06:25:52 PM,7910.1,7771.6,22.26
16,01/09/30 06:55:52 PM,7896.9,7762.3,22.26
17,01/09/30 07:25:52 PM,7892.3,7755.9,22.26
18,01/09/30 07:55:52 PM,7883.8,7749.5,22.26
19,01/09/30 08:25:52 PM,7879.1,7740.2,22.25
20,01/09/30 08:55:52 PM,7876.0,7733.8,22.26
21,01/09/30 09:25:52 PM,7864.4,7725.2,22.25
22,01/09/30 09:55:52 PM,7856.7,7718.1,22.26
23,01/09/30 10:25:52 PM,7848.2,7711.7,22.25
24,01/09/30 10:55:52 PM,7842.0,7705.3,22.25
25,01/09/30 11:25:52 PM,7832.8,7698.9,22.25
26,01/09/30 11:55:52 PM,7825.1,7689.6,22.25
27,01/10/30 12:25:52 AM,7822.8,7684.6,22.26
28,01/10/30 12:55:52 AM,7814.3,7677.5,22.26
29,01/10/30 01:25:52 AM,7809.7,7671.1,22.26
30,01/10/30 01:55:52 AM,7803.5,7664.7,22.25
31,01/10/30 02:25:52 AM,7931.8,7789.5,22.33
32,01/10/30 02:55:52 AM,8139.3,7984.7,22.29
33,01/10/30 03:25:52 AM,8145.6,7996.3,22.25
34,01/10/30 03:55:52 AM,8150.3,7991.2,22.25
35,01/10/30 04:25:52 AM,8145.6,7992.7,22.25
36,01/10/30 04:55:52 AM,8147.9,7991.2,22.26
37,01/10/30 05:25:52 AM,8134.6,7977.5,22.26
38,01/10/30 05:55:52 AM,8120.5,7961.7,22.26
39,01/10/30 06:25:52 AM,8107.2,7950.9,22.26
40,01/10/30 06:55:52 AM,8096.2,7943.7,22.26
41,01/10/30 07:25:52 AM,8086.8,7934.3,22.26
42,01/10/30 07:55:52 AM,8080.5,7925.7,22.27
43,01/10/30 08:25:52 AM,8071.2,7916.3,22.26
44,01/10/30 08:55:52 AM,8060.2,7909.2,22.26
45,01/10/30 09:25:52 AM,8048.5,7902.0,22.26
46,01/10/30 09:55:52 AM,8040.7,7893.3,22.26
47,01/10/30 10:25:52 AM,8034.5,7886.2,22.25
48,01/10/30 10:55:52 AM,8023.5,7876.1,22.25
49,01/10/30 11:25:52 AM,8020.4,7869.7,22.26
50,01/10/30 11:55:52 AM,8014.2,7861.8,22.26
51,01/10/30 12:25:52 PM,7998.6,7851.7,22.25
52,01/10/30 12:55:52 PM,7990.0,7843.9,22.25
53,01/10/30 01:25:52 PM,7985.4,7836.0,22.23
54,01/10/30 01:55:52 PM,7974.5,7829.5,22.23
55,01/10/30 02:25:52 PM,7969.8,7818.8,22.25
56,01/10/30 02:55:52 PM,7958.9,7811.6,22.23
57,01/10/30 03:25:52 PM,7952.7,7804.5,22.23
58,01/10/30 03:55:52 PM,7944.2,7795.9,22.22
59,01/10/30 04:25:52 PM,7930.2,7787.3,22.21
60,01/10/30 04:55:52 PM,7926.3,7779.5,22.22
61,01/10/30 05:25:52 PM,7915.5,7773.7,22.21
62,01/10/30 05:55:52 PM,7904.6,7764.5,22.21
63,01/10/30 06:25:52 PM,7898.5,7755.9,22.20
64,01/10/30 06:55:52 PM,7896.1,7748.0,22.20
65,01/10/30 07:25:52 PM,7882.2,7739.5,22.20
66,01/10/30 07:55:52 PM,7875.2,7733.8,22.20
67,01/10/30 08:25:52 PM,7866.0,7725.9,22.20
68,01/10/30 08:55:52 PM,7855.9,7717.4,22.19
69,01/10/30 09:25:52 PM,7849.8,7708.8,22.19
70,01/10/30 09:55:52 PM,7840.5,7702.4,22.19
71,01/10/30 10:25:52 PM,7839.0,7694.6,22.19
72,01/10/30 10:55:52 PM,7828.9,7686.8,22.19
73,01/10/30 11:25:52 PM,7819.7,7680.4,22.19
74,01/10/30 11:55:52 PM,7811.2,7673.2,22.19
75,01/11/30 12:25:52 AM,7805.0,7664.7,22.19
76,01/11/30 12:55:52 AM,7796.6,7658.3,22.19
77,01/11/30 01:25:52 AM,7790.4,7650.5,22.19
78,01/11/30 01:55:52 AM,7783.5,7644.8,22.19
79,01/11/30 02:25:52 AM,7775.8,7638.4,22.19
80,01/11/30 02:55:52 AM,7765.8,7629.9,22.20
81,01/11/30 03:25:52 AM,7824.3,7678.9,22.25
82,01/11/30 03:55:52 AM,8172.3,8008.5,22.23
83,01/11/30 04:25:52 AM,8251.9,8093.1,22.19
84,01/11/30 04:55:52 AM,8285.1,8124.3,22.16
85,01/11/30 05:25:52 AM,8292.2,8133.8,22.16
86,01/11/30 05:55:52 AM,8289.9,8131.6,22.18
87,01/11/30 06:25:52 AM,8289.9,8131.6,22.19
88,01/11/30 06:55:52 AM,8285.9,8128.7,22.20
89,01/11/30 07:25:52 AM,8276.4,8125.8,22.20
90,01/11/30 07:55:52 AM,8270.1,8116.3,22.20
91,01/11/30 08:25:52 AM,8260.6,8106.2,22.20
92,01/11/30 08:55:52 AM,8253.5,8096.8,22.20
93,01/11/30 09:25:52 AM,8246.4,8087.4,22.20
94,01/11/30 09:55:52 AM,8237.7,8079.4,22.19
95,01/11/30 10:25:52 AM,8233.0,8072.1,22.20
96,01/11/30 10:55:52 AM,8223.5,8064.2,22.19
97,01/11/30 11:25:52 AM,8215.6,8057.7,22.19
98,01/11/30 11:55:52 AM,8209.3,8049.7,22.19
99,01/11/30 12:25:52 PM,8199.9,8042.5,22.19
100,01/11/30 12:55:52 PM,8195.1,8033.8,22.18
101,01/11/30 01:25:52 PM,8188.8,8026.6,22.18
102,01/11/30 01:55:52 PM,8172.3,8016.5,22.18
103,01/11/30 02:25:52 PM,8169.9,8009.3,22.16
104,01/11/30 02:55:52 PM,8158.2,8001.3,22.16
105,01/11/30 03:25:52 PM,8151.9,7992.7,22.16
106,01/11/30 03:55:52 PM,8142.5,7983.3,22.16
107,01/11/30 04:25:52 PM,8136.2,7980.4,22.14
108,01/11/30 04:55:52 PM,8158.2,8002.0,22.14
109,01/11/30 05:25:52 PM,8179.4,8020.1,22.13
110,01/11/30 05:55:52 PM,8196.7,8036.0,22.13
111,01/11/30 06:25:52 PM,8201.4,8043.2,22.14
112,01/11/30 06:55:52 PM,8204.6,8043.2,22.13
113,01/11/30 07:25:52 PM,8196.7,8038.2,22.13
114,01/11/30 07:55:52 PM,8194.3,8028.0,22.13
115,01/11/30 08:25:52 PM,8181.7,8017.9,22.13
116,01/11/30 08:55:52 PM,8172.3,8012.9,22.13
117,01/11/30 09:25:52 PM,8165.2,8006.4,22.13
118,01/11/30 09:55:52 PM,8160.5,7998.4,22.13
119,01/11/30 10:25:52 PM,8149.5,7990.5,22.13
120,01/11/30 10:55:52 PM,8147.2,7984.7,22.13
121,01/11/30 11:25:52 PM,8137.7,7979.0,22.13
122,01/11/30 11:55:52 PM,8128.3,7971.0,22.13
